RBD;NOM_RBD
114;ESCUELA PLACIDO VILLARROEL
116;COLEGIO REPUBLICA DE CROACIA
117;ESCUELA PAULA JARAQUEMADA ALQUIZAR
119;ESCUELA CENTENARIO
122;ESCUELA THILDA PORTILLO OLIVARES
123;COLEGIO ESPANA
124;LICEO LUIS CRUZ MARTINEZ
125;ESCUELA PROFESOR MANUEL CASTRO RAMOS
126;COLEGIO REPUBLICA DE ITALIA
127;LICEO MARIA AUXILIADORA
129;LICEO SUPERIOR GABRIELA MISTRAL
130;COLEGIO NORTH COLLEGE
131;LICEO PARTICULAR MIXTO ESCASCE
132;LICEO ACADEMIA IQUIQUE
133;COLEGIO ADVENTISTA DE IQUIQUE
134;LICEO ATENEA
144;COLEGIO IQUIQUE YOUNG SCHOOL
154;ESCUELA BASICA FRONTERIZA
156;ESCUELA PISAGUA
158;ESCUELA CHIAPA
159;ESCUELA JAINA
160;ESCUELA PACHICA
161;LICEO DE HUARA
162;ESCUELA SIBAYA
165;ESCUELA CHUSMIZA
167;ESCUELA CAMINA
168;ESCUELA CUISAMA
169;ESCUELA QUISTAGAMA
170;ESCUELA NAMA
171;ESCUELA APAMILCA
172;ESCUELA CHAPIQUILTA
173;ESCUELA MOQUELLA
174;ESCUELA FRANCIA
175;ESCUELA YALA YALA
177;ESCUELA BASICA CARIQUIMA
178;LICEO TECNICO PROFESIONAL COLCHANE
179;ESCUELA BASICA MAUQUE
185;ESCUELA BASICA PISIGA-CHOQUE
186;ESCUELA BASICA ENQUELGA
187;ESCUELA VERTIENTE DEL SABER
188;ESC. MATILLA DE NUEVA EXTREMADURA
191;LIC. ALCDE.SERGIO GONZALEZ GUTIERREZ
192;ESCUELA BASICA MAMINA
193;ESCUELA BASICA POZO ALMONTE
195;ESCUELA BASICA LA TIRANA
196;ESCUELA BASICA HUATACONDO
198;ESCUELA BASICA LA HUAYCA
199;LICEO DOMINGO LATRILLE LASTAUNOU
200;LICEO POLITECNICO DIEGO PORTALES P.
201;ESCUELA CARLOS CONDELL DE LA HAZA
203;ESCUELA PABLO NERUDA
204;ESCUELA L.GRAL.BERNARDO O�HIGGINS R.
205;ESCUELA ARTURO PRAT CHACON
206;ESCUELA ESTADOS UNIDOS DE NORTEAMERICA
208;COLEGIO SAGRADA FAMILIA
210;ESCUELA ARTURO PEREZ CANTO
211;LICEO  H.C. T.P.  MARIA ELENA
214;ESCUELA IGNACIO CARRERA PINTO
217;LICEO LUIS CRUZ MARTINEZ
218;LICEO FRANCISCO DE AGUIRRE
219;LICEO POLITECNICO CESAREO AGUIRRE G.
220;LICEO MINERO AM�RICA
222;CENTRO EDUC.INTEGRAL DE ADULTOS C.E.I.A
223;ESCUELA CLAUDIO ARRAU
224;ESCUELA GRECIA
225;ESCUELA REPUBLICA DE BOLIVIA
226;ESCUELA BASICA EMILIO SOTOMAYOR
227;ESCUELA BASICA PRESIDENTE BALMACEDA
228;ESCUELA BASICA VADO DE TOPATER
229;ESCUELA REPUBLICA DE CHILE
230;ESCUELA BASICA ANDRES BELLO
231;ESCUELA BASICA JOHN FITZGERALD KENNEDY
232;ESCUELA BASICA PEDRO VERGARA KELLER
239;ESCUELA BASICA 21 DE MAYO
240;ESCUELA BASICA REPUBLICA DE FRANCIA
243;ESCUELA BASICA PUKARA
246;ESCUELA BASICA SENORA DE LA CANDELARIA
248;ESCUELA BASICA SAN JOSE
252;ESCUELA BASICA SAN FRANCISCO
253;COLEGIO ADVENTISTA DE CALAMA
254;FUNDACION EDUC.COLEGIO NUESTRA SRA.DE AYQUINA
255;COLEGIO  EJERCITO DE SALVACION
256;INSTITUTO OBISPO SILVA LEZAETA
257;COLEGIO CHUQUICAMATA
268;ESC. BASICA RURAL SAN ANTONIO DE PADUA
269;ESCUELA BASICA SAN PEDRO DE ATACAMA
270;COMPLEJO EDUCACIONAL TOCONAO
271;ESCUELA BASICA CAMAR
273;ESCUELA BASICA SOLOR
274;ESCUELA BASICA SAN ROQUE
275;ESCUELA BASICA ANDINA
276;ESCUELA BASICA TALABRE
277;ESCUELA BASICA SAN BARTOLOME
279;LICEO INDUSTRIAL EULOGIO GORDO MONEO
280;LICEO COMERCIAL JERARDO MUNOZ CAMPOS
282;LICEO A. RENDIC I. ANEXO C. REHABILIT. SOCIAL
283;LICEO TECNICO ANTOFAGASTA
284;LICEO DE HOMBRES DE ANTOFAGASTA MARIO BAHAMONDE SILVA
285;LICEO MARTA NAREA DIAZ
286;LICEO LA PORTADA
287;LICEO DOMINGO HERRERA RIVERA
288;ESCUELA JAPON
289;ESCUELA ESPANA
291;ESCUELA PADRE GUSTAVO LE PAIGE WALQUE
292;ESCUELA REPUBLICA DE ITALIA
293;ESCUELA JOSE PAPIC RADNIC
294;ESCUELA PROFESORA LJUBICA DOMIC WUTH
296;ESCUELA REPUBLICA DE LOS ESTADOS UNIDOS
297;ESCUELA ALCALDE MAXIMILIANO POBLETE
298;ESCUELA DARIO SALAS DIAZ
301;ESCUELA ROMULO J. PENA MATURANA
302;ESCUELA JUAN LOPEZ
303;ESCUELA REPUBLICA ARGENTINA
304;LICEO BICENTENARIO ANDRES SABELLA
305;ESCUELA HUMBERTO GONZALEZ ECHEGOYEN
306;ESCUELA HUANCHACA
310;ESCUELA CLAUDIO MATTE PEREZ
312;ESCUELA ECUADOR
313;ESCUELA ARTURO PRAT
315;ESCUELA HEROES DE LA CONCEPCION
316;ESCUELA LAS AMERICAS PROFESOR JUSTO VALLADARES ORELLANA
317;ESCUELA LAS ROCAS
318;ESCUELA EDDA CUNEO DONNAGIO
319;ESCUELA LA BANDERA
320;ESCUELA ARMANDO CARRERA GONZALEZ
322;ESCUELA GENERAL MANUEL BAQUEDANO
324;ESCUELA FUNDACION MINERA ESCONDIDA
326;ESCUELA SANTIAGO AMENGUAL B.
329;INSTITUTO CIENT�FICO EDUCACIONAL JOS� MAZA SANCHO
332;ESCUELA GABRIELA MISTRAL
335;COLEGIO EVANGELICO JOSE LANCASTER
336;LICEO EXPERIMENTAL ARTISTICO-APLICACION
337;COLEGIO SANTA TERESITA
341;COLEGIO PARTICULAR ADVENTISTA
342;COLEGIO INGLES SAN JOSE
343;ESCUELA PRESBITERIANA
344;COLEGIO SANTA EMILIA
350;COLEGIO LIDIA MORENO
354;COL. KID'S SCHOOL
355;COLEGIO BINACIONAL CHILENO AMERICANO DE ANTOFAGASTA(EX INS. CHILENO NORTEAMERICANO CULTURA)
356;COLEGIO CORAZON DE MARIA
357;COL. SAN LUIS
358;INS. SANTA MARIA
361;COL. THE ANTOFAGASTA BRITISH SCHOOL
364;COL. ANTOFAGASTA
365;COLEGIO EAGLE SCHOOL
366;HRVATSKA SKOLA S. ESTEBAN (EX-J. SKOLA)
367;COMPLEJO EDUCATIVO JUAN JOSE LATORRE BENAVENT
368;ESCUELA BASICA JULIA HERRERA VARAS
369;ESCUELA LUCILA GODOY ALCAYAGA
370;ESCUELA ESTACION BAQUEDANO
371;ESCUELA CARACOLES
372;LICEO POLITECNICO JOSE MIGUEL QUIROZ
373;LICEO JUAN CORTES-MONROY CORTES
374;ESCUELA HOGAR VICTORIANO QUINTEROS SOTO
375;ESCUELA VICTOR CARVAJAL MEZA
377;ESCUELA PARANAL
379;LICEO FEDERICO VARELA
380;ESCUELA BASICA DIEGO PORTALES PALAZUELOS
381;ESCUELA BASICA PEDRO LUJAN
382;ESCUELA BASICA GASPAR CABRALES
384;LICEO MANUEL MAGALHAES MEDLING
386;ESCUELA ALIRO LAMAS CASTILLO
387;ESC. BASICA EMPERATRIZ SEPULVEDA LANDEROS
390;ESCUELA COEDUCACIONAL PARTICULAR
392;LICEO DIEGO DE ALMEIDA
396;INSTITUTO COMERCIAL ALEJANDRO RIVERA DIAZ
397;LICEO T�CNICO PROFESIONAL EDWIN LATORRE RIVERO
399;LICEO JOSE ANTONIO CARVAJAL
400;LICEO MERCEDES FRITIS MACKENNEY
401;ESCUELA BERNARDO O HIGGINS
403;ESCUELA LAURA ROBLES SILVA
405;ESCUELA LOS ESTANDARTES
406;ESCUELA VICENTE SEPULVEDA ROJO
407;ESCUELA JESUS FERNANDEZ HIDALGO
408;ESCUELA PEDRO LEON GALLO
410;ESCUELA JOSE MANSO DE VELASCO
411;ESCUELA LAS CANTERAS
413;ESCUELA LAS BRISAS
415;LICEO DE MUSICA
416;ESCUELA ABRAHAM SEPULVEDA PIZARRO
417;COLEGIO BUEN PASTOR
418;ESCUELA ISABEL PENA MORALES
419;ESCUELA HERNAN MARQUEZ HUERTA
420;LICEO FERNANDO ARIZT�A RUIZ
421;ESCUELA BRUNO ZAVALA FREDES
423;ESCUELA SAN PEDRO
427;ESCUELA LUIS CRUZ MARTINEZ
429;LICEO CATOLICO ATACAMA
430;LICEO POLITECNICO BELEN
431;LICEO SAGRADO CORAZON
433;COLEGIO ADVENTISTA DE COPIAPO
434;ESCUELA SAN VICENTE DE PAUL
437;ESCUELA TECNICO PROFESIONAL
438;LICEO MANUEL BLANCO ENCALADA
439;ESCUELA TOTORAL
440;COLEGIO PARROQUIAL PADRE NEGRO
441;ESCUELA DE CONCENTRACION
442;ESCUELA VICTOR MANUEL SANCHEZ CABANAS
444;ESCUELA LUIS URIBE ORREGO
445;ESCUELA PAUL HARRIS
446;ESCUELA AMOLANAS
447;ESCUELA SAN ANTONIO
448;LICEO PEDRO TRONCOSO MACHUCA
449;LICEO JOSE SANTOS OSSA
450;ESCUELA HERMANOS CARRERA
452;ESCUELA GABRIELA MISTRAL
453;ESCUELA IGNACIO CARRERA PINTO
454;ESCUELA GREGORIO CASTILLO MAR�N
455;ESCUELA REPUBLICA DE LOS E.E.U.U.
458;ESCUELA ARTURO PEREZ CANTO
459;ESCUELA BASICA ESPANA
461;ESCUELA LUIS CRUZ MARTINEZ
462;ESCUELA JOSE CAROCA LAFLOR
463;ESCUELA BASICA ROBERTO CUADRA ALQUINTA
464;ESCUELA BASICA GUALBERTO KONG FERNANDEZ
467;ESCUELA HERNAN ARAVENA CONTRERAS
468;ESCUELA BASICA IGNACIO FRANCO GALLO
469;ESCUELA BASICA JUSTINO LEIVA AMOR
471;ESCUELA BASICA SARA BEMBOW VILLEGAS
476;ESCUELA BASICA SOR TERESA DE LOS ANDES
478;LICEO SANTA MARTA
479;LICEO SAN FRANCISCO
481;ESCUELA BASICA ALEJANDRO NOEMI HUERTA
482;ESCUELA FORTUNATO SOZA RODRIGUEZ
483;ESCUELA SAMUEL E. CASTILLO LOPEZ
484;ESCUELA DE MAITENCILLO
485;ESCUELA BASICA YERBAS BUENAS
486;LICEO JAPON
487;ESCUELA BASICA JOSE MIGUEL CARRERA
489;ESCUELA EL OLIVAR
490;ESCUELA PABLO NERUDA
492;COLEGIO PARTICULAR ENGLISH COLLEGE
493;EDUCADOR ARTURO ALVEAR RAMOS
495;ESCUELA AGLADE MARIN VARGAS
496;ESCUELA DE CHOLLAY
497;ESCUELA DE LA PAMPA
498;ESCUELA ALGARROBILLA
499;ESCUELA RICARDO CAMPILLAY CONTRERAS
500;ESCUELA BASICA RURAL EL TAMBO
502;ESCUELA DE LAS MARQUESAS
503;ESCUELA DE LAS BREAS
504;ESCUELA GABRIELA MISTRAL
506;ESCUELA DE LOS PERALES
508;ESCUELA DE CHIGUINTO
509;ESC.BASICA ALDECIRA ALVAREZ A.
514;ESCUELA DE EL CORRAL
516;LICEO GABRIELA MISTRAL DE LA SERENA
517;LICEO GREGORIO CORDOVEZ
518;LICEO TECNICO MARTA BRUNET
519;COLEGIO ARTURO PRAT CHACON
521;COLEGIO VICTOR DOMINGO SILVA
522;COLEGIO JAVIERA CARRERA
523;ESCUELA ALONSO DE ERCILLA
525;COLEGIO JAPON
526;COLEGIO JOSE MANUEL BALMACEDA
527;COLEGIO HEROES DE LA CONCEPCION
528;ESCUELA GERMAN RIESCO
530;COLEGIO GABRIEL GONZALEZ VIDELA
531;COLEGIO PEDRO AGUIRRE CERDA
532;CEN.ED.INT.DE ADUL.ESTER VILLARREAL CASTILLO
533;COLEGIO DARIO SALAS
534;COLEGIO VILLA SAN BARTOLOME
535;COLEGIO JOSE MIGUEL CARRERA
536;COLEGIO BERNARDA MORIN
539;COLEGIO DE ALGARROBITO
540;ESCUELA DE ISLON
542;ESCUELA DE LAMBERT
543;COLEGIO ALTOVALSOL
546;COLEGIO COQUIMBITO
548;ESCUELA DE COLONIA ALFALFARES
549;ESCUELA DE LOS CORRALES
550;ESCUELA DE ALMIRANTE LATORRE
551;ESCUELA DE LAS ROJAS
552;ESCUELA DE CHACAY ALTO
554;ESCUELA DE PELICANA
556;ESCUELA DE ROMERO
557;ESCUELA DE SATURNO
558;COLEGIO PUNTA DE TEATINOS
560;COLEGIO QUEBRADA DE TALCA
561;COLEGIO EL ROMERAL
562;COLEGIO CALETA SAN PEDRO
563;COLEGIO LA LAJA
564;COLEGIO LA ESTRELLA
565;COLEGIO PARTICULAR ADVENTISTA MARANATA
566;COLEGIO ISABEL RIQUELME
567;COLEGIO SAN FRANCISCO COLL
568;COLEGIO SAN ANTONIO
570;COLEGIO ELENA BETTINI
573;ESCUELA PARTICULAR TERESA VIDELA DE G
574;ESCUELA  INDUSTRIAL SALESIANA SAN RAMON
575;COLEGIO PROVIDENCIA
578;LICEO IGNACIO CARRERA PINTO
579;COLEGIO SEMINARIO CONCILIAR
580;COLEGIO GERONIMO RENDIC
581;ESCUELA EXPERIMENTAL DE MUSICA JORGE PE�A HEN
582;COLEGIO ANDRES BELLO
583;COLEGIO SAGRADOS CORAZONES
585;COLEGIO THE INTERNATIONAL SCHOOL
587;COLEGIO SERENA
589;COLEGIO SANTO DOMINGO
590;COLEGIO PARTICULAR SAN JOSE
591;COLEGIO INGLES CATOLICO
594;COLEGIO FRANCISCO DE AGUIRRE
597;ESCUELA BASICA PEDRO PABLO MUNOZ
598;ESCUELA DE PUNTA DE CHOROS
599;ESCUELA JOSE SANTOS OSSA
602;ESCUELA BASICA CARLOS CONDELL
604;ESCUELA DE PUNTA COLORADA
606;ESCUELA BASICA SAN ANDRES
608;ESCUELA DE LOS CHOROS
609;INSTITUTO SUPERIOR DE COMERCIO DE COQUIMBO
610;LICEO INDUSTRIAL JOSE TOMAS DE URMENETA
611;LICEO DIEGO PORTALES
612;ESCUELA GUILLERMO CERECEDA
613;COLEGIO DE ARTES CLAUDIO ARRAU
614;ESCUELA PRESIDENTE ANIBAL PINTO
615;ESCUELA COQUIMBO
616;ESCUELA CARDENAL JOSE MARIA CARO
617;COLEGIO SANTA CECILIA
618;ESCUELA SANTO TOMAS DE AQUINO
620;ESCUELA JOSE ALFARO ALFARO
621;ESCUELA BASICA MARIO MUNOZ SILVA
625;ESCUELA TOMASA OLIVARES CAAMANO
626;ESCUELA BASICA DAVID LEON TAPIA
628;ESCUELA DE PENUELAS
629;COLEGIO PABLO NERUDA
630;COLEGIO LA HERRADURA
631;ESCUELA SAN RAFAEL
632;ESCUELA BASICA MANUEL DE SALAS
634;ESCUELA DE HUACHALALUME
635;ESCUELA DE TOTORALILLO
637;ESCUELA LUCILA GODOY ALCAYAGA
638;ESCUELA DE CAMARONES
639;ESCUELA DE LAS BARRANCAS
640;ESCUELA DE EL MOLLACO
641;ESCUELA DE LAS CARDAS
642;ESCUELA DE EL PENON
643;ESCUELA DE TAMBILLOS
644;ESCUELA DE PUERTO ALDEA
645;ESCUELA DE EL TANGUE
646;COLEGIO BERNARDO O�HIGGINS
647;COLEGIO MANUEL MONTT
648;COLEGIO SANTA MARTA
649;COLEGIO PARTICULAR GABRIELA MISTRAL
650;ESCUELA PARTICULAR METODISTA
655;COLEGIO PARTICULAR SAN IGNACIO
656;LICEO PEDRO REGALADO S. VIDELA O.
657;ESCUELA LUIS CRUZ MARTINEZ
658;ESCUELA PATRICIO LYNCH
659;ESCUELA PADRE BLAS HERNANDEZ SANCHEZ
661;ESCUELA LUIS AMENABAR OSSA
662;ESCUELA DE MAITENCILLO
664;COLEGIO PARROQUIAL DE ANDACOLLO
665;LICEO CARLOS ROBERTO MONDACA CORTES
666;ESCUELA BASICA LUCILA GODOY ALCAYAGA
668;ESCUELA EDMUNDO VIDAL CARDENAS
669;ESCUELA NEFTALI REYES
671;ESCUELA RIOS DE ELQUI
672;ESCUELA DE DIAGUITAS JUAN TORRES M.
673;ESCUELA JOSE ABELARDO NUNEZ
674;ESCUELA DE VINITA ALTA
676;ESCUELA DE SAN CARLOS
678;ESCUELA AMELIA BARAHONA MUJICA
680;ESCUELA FEDERICO BARNES PAYNE
681;ESCUELA DE EL ARENAL
682;ESCUELA DAGOBERTO CAMPOS NUNEZ
683;ESCUELA DE LA CALERA
686;ESCUELA B�SICA MARIO AQUILES RODRIGUEZ
687;ESCUELA DE HUANTA
688;ESCUELA DE CHAPILCA
689;ESCUELA DE VARILLAR
690;COLEGIO ANTONIO VARAS
691;ESCUELA MUNICIPAL CIELO CLARO--PAIHUANO
692;ESCUELA JERONIMO GODOY VILLANUEVA
693;ESCUELA MUNICIPAL QUEBRADA DE PAIHUANO
694;ESCUELA GABRIELA MISTRAL
695;ESCUELA MUNICIPAL TRES CRUCES
696;ESCUELA MUNICIPAL LA ORTIGA
697;ESCUELA MUNICIPAL ALCOHUAZ
699;ESCUELA MARIA ISABEL PERALTA P.
701;LICEO ESTELA AVILA DE PERRY
704;LICEO ALEJANDRO ALVAREZ JOFRE
705;LICEO POLITECNICO DE OVALLE
706;COLEGIO FRAY JORGE
707;ESCUELA BASICA HELENE LANG
708;ESCUELA ANTONIO TIRADO LANAS
709;ESCUELA BASICA OSCAR ARAYA MOLINA
710;ESCUELA BASICA JOSE TOMAS OVALLE B.
711;ESCUELA GUARDIAMARINA ERNESTO RIQUELME V
712;ESCUELA B�SICA ARTURO ALESSANDRI PALMA
713;ESCUELA ARTURO VILLALON SIEULANNE
714;ESCUELA BASICA VISTA HERMOSA
715;ESCUELA BASICA BERNARDO O�HIGGINS RIQUELME
716;ESC.PADRE JOSEPH BENEDIKT STEGMEIER
718;ESCUELA MARCOS MACUADA OGALDE
721;ESCUELA BASICA FLORENCIO ESPINOZA LOPEZ
722;ESC. HEBERTO VELAZQUEZ VELAZQUEZ
723;ESCUELA VILLORRIO EL TALHUEN
724;ESCUELA BASICA CALETA EL MAITEN
725;ESCUELA EL CRISOL
726;ESCUELA QUEBRADA SECA DE SOTAQUI
728;ESCUELA EL ALGARROBO
729;ESCUELA BASICA LOS OLIVOS
730;ESCUELA BASICA LUCIA NUNEZ DE LA CUADRA
731;ESCUELA EL TRAPICHE
733;ESCUELA PADRE DAMIAN HEREDIA
735;ESCUELA LA QUIROGA
736;ESCUELA BASICA LOS SOSSAS
737;ESCUELA BASICA VALENTIN LETELIER
740;ESCUELA PEDRO ENRIQUE ALFONSO BARRIOS
743;ESCUELA CARACHILLA
744;ESCUELA ORURO
745;ESCUELA LA HIGUERA DE PALOMA
746;ESCUELA EL SAUCE
747;ESCUELA CERRO TAMAYA
749;ESCUELA TRANQUE RECOLETA
750;ESCUELA ELVIRA DEL CARMEN OCHOA  AVILES
752;ESCUELA VALLE HERMOSO
753;ESC.BAS.JUAN PABLO ARTIGUES PENAFIEL
754;ESCUELA LA ARAUCANA
755;ESCUELA CANELILLA
756;ESCUELA SANTA CATALINA
757;ESCUELA BASICA EL GUINDO
758;ESCUELA CORDILLERA
759;ESCUELA BASICA GASPAR CABRALES
760;ESCUELA LAS LOMAS DE PUNILLA
762;ESCUELA CALETA EL TORO
763;COLEGIO SAN JUAN BAUTISTA
766;COLEGIO SANTA MARIA EUFRASIA
767;COLEGIO PARTICULAR GABRIELA MISTRAL
768;COLEGIO LA PROVIDENCIA
769;COLEGIO SAN VIATOR
770;COLEGIO AMALIA ERRAZURIZ
771;ESCUELA PARTICULAR EL ARRAYAN
772;LICEO AGRICOLA DE OVALLE TADEO PERRY BARN
773;ESCUELA SAMO ALTO
774;COLEGIO PICHASCA
775;ESCUELA BASICA DE FUNDINA
776;ES.BAS.SAN PEDRO DE RIO HURTADO
777;ESC.BASICA  HIJOS DE EL CHANAR
778;ESCUELA BASICA LAS BREAS
780;ESCUELA BASICA TABAQUEROS
783;ESCUELA DOCTOR JOSE LUIS ARRANO
784;ESCUELA BASICA  HUAMPULLA
785;ESCUELA BASICA LOS MAITENES DE SAMO ALTO
786;ESCUELA BASICA  LA HUERTA
787;ESCUELA BASICA MORRILLOS
788;ESCUELA BASICA VADO DE MORRILLOS
789;ESCUELA EL ESPINAL DE RIO HURTADO
790;ESCUELA BASICA EL ROMERAL
792;ESCUELA BASICA  ESTANCIA EL SAUCE
793;ESCUELA BASICA DE  SERON
795;ESC.BASICA DOMINGO SANTA MARIA GONZALEZ
797;ESCUELA LOS MAITENES DE SERON
798;ESCUELA EL PALQUI
799;COLEGIO REPUBLICA DE CHILE
800;ESCUELA HUATULAME
802;LICEO PRESIDENTE EDUARDO FREI MONTALVA
803;ESC.CONCENTRACION FRONTERIZA DE TULAHUEN
804;ESCUELA BASICA WENCESLAO VARGAS
805;ESCUELA EL MAQUI
806;ESCUELA FRONTERA LAS RAMADAS
807;ESCUELA EL MAITEN
809;ESCUELA DE HUANILLA
810;ESCUELA CENTRAL HIDROELECTRICA LOS MOLLE
812;ESCUELA SOL DE LAS PRADERAS
813;ESCUELA BASICA LA UNION
814;ESCUELA BASICA EL TAYAN
816;ESCUELA GUSTAVO CONTRERAS CASTRO
817;ESCUELA NUEVA ESPERANZA DE PEJERREYES
818;ESCUELA LOS CLONQUIS
819;ESCUELA BUENAVENTURA
820;ESCUELA SOL DEL CUYANO
821;ESCUELA DE FLOR DEL VALLE
822;ESCUELA JUNTAS
823;ESCUELA BASICA COLLIGUAY
824;ESCUELA HEROES DE CHILE
825;ESCUELA BASICA PABLO NERUDA
826;ESCUELA BASICA HACIENDA VALDIVIA
827;COLEGIO RIO GRANDE
830;ESCUELA MARCELA PAZ
831;ESCUELA VALLE NEVADO
833;ESCUELA SANTA BERNARDITA
835;ESCUELA CARMELA PRAT
836;ESCUELA INES DE SUAREZ
837;ESCUELA ESPERANZA DE HUANA
838;ESCUELA PROFESOR MANUEL ORTIZ QUINTANA
839;ESCUELA CHILECITO
841;ESCUELA PULPICA
843;ESCUELA LOS PERALES DE CAMPANARIO
844;ESCUELA PARTICULAR CERRILLOS DE RAPEL
845;LICEO SAMUEL ROMAN ROJAS
847;ESCUELA BASICA AMERICA
848;ESCUELA ALEJANDRO CHELEN ROJAS
849;ESCUELA BASICA JUANITA FERNANDEZ SOLAR
850;ESCUELA JUAN LUIS SAN FUENTES
851;ESCUELA BASICA ARTURO PEREZ CANTO
852;ESCUELA BASICA PEDRO DE VALDIVIA
857;ESCUELA LOS MORALES
859;ESCUELA REBECA MATTE DE INIGUEZ
862;ESCUELA ESTRELLA DE BELEN
864;ESCUELA BASICA VIOLETA PARRA SANDOVAL
865;ESCUELA BASICA DANIEL BARROS GREZ
868;ESCUELA AMERICA DE SUR
869;ESCUELA BASICA REBECA PONCE DE LEON V.
870;ESCUELA BASICA CAMILO HENRIQUEZ GONZALEZ
871;ESCUELA BASICA LUIS ENRIQUE BOU PEREZ
872;ESCUELA BASICA ROSITA OHIGGINS
874;ESCUELA BASICA LAURITA VICUNA
875;ESCUELA BASICA PEDRO LIRA RENCORET
876;ESCUELA BASICA CLAUDIO MATTE
879;ESCUELA BASICA BENJAMIN VICUNA MACKENNA
883;ESCUELA BASICA SAN LUIS AMIGO Y FERRER
884;ESCUELA BASICA JUAN FRANCISCO GONZALEZ
886;ESCUELA LA VARIOLA
887;ESCUELA BASICA CAUPOLICAN
888;ESCUELA BASICA BOSQUE DE QUILLAY
889;ESCUELA BASICA PAUL HARRIS
890;ESCUELA PARTICULAR LOS SAPOS
891;ESCUELA PARTICULAR RINCON DE LAS CHILCAS
892;ESCUELA PARTICULAR EL DURAZNO
896;ESCUELA PARTICULAR LA COLORADA
897;ESCUELA BELGICA
899;ESCUELA LUZ DE LUNA
900;ESCUELA BASICA LA HIGUERA DE QUILE
902;ESCUELA BASICA ELENA CAFFARENA
904;ESCUELA CAMPO LINDO
905;ESCUELA CHALINGA
906;ESCUELA LOS CANELOS
907;ESCUELA HIJOS DEL PERAL
908;ESCUELA TABALI
909;ESCUELA LOS AZAHARES DE CERRO BLANCO
910;ESC.BASICA SAN ANTONIO DE LA VILLA
911;ESCUELA LOS TRIGOS
914;ESCUELA PENA BLANCA
915;ESCUELA MARCOS RIGOBERTO  PIZARRO ARAYA
