RBD;NOM_RBD
529;COLEGIO MANUEL RODRIGUEZ
530;COLEGIO GABRIEL GONZALEZ VIDELA
531;COLEGIO PEDRO AGUIRRE CERDA
532;CEN.ED.INT.DE ADUL.ESTER VILLARREAL CASTILLO
533;COLEGIO DARIO SALAS
534;COLEGIO VILLA SAN BARTOLOME
535;COLEGIO JOSE MIGUEL CARRERA
536;COLEGIO BERNARDA MORIN
537;COLEGIO LUIS BRAILLE
539;COLEGIO DE ALGARROBITO
540;ESCUELA DE ISLON
542;ESCUELA DE LAMBERT
543;COLEGIO ALTOVALSOL
544;ESCUELA DE EL MILAGRO
546;COLEGIO COQUIMBITO
548;ESCUELA DE COLONIA ALFALFARES
549;ESCUELA DE LOS CORRALES
550;ESCUELA DE ALMIRANTE LATORRE
551;ESCUELA DE LAS ROJAS
552;ESCUELA DE CHACAY ALTO
554;ESCUELA DE PELICANA
556;ESCUELA DE ROMERO
557;ESCUELA DE SATURNO
558;COLEGIO PUNTA DE TEATINOS
560;COLEGIO QUEBRADA DE TALCA
561;COLEGIO EL ROMERAL
562;COLEGIO CALETA SAN PEDRO
563;COLEGIO LA LAJA
564;COLEGIO LA ESTRELLA
565;COLEGIO ADVENTISTA LA SERENA
566;COLEGIO ISABEL RIQUELME
567;COLEGIO SAN FRANCISCO COLL
568;COLEGIO SAN ANTONIO
570;COLEGIO ELENA BETTINI
571;ESC.ESPEC.LOS PENSAMIENTOS DE JUAN XXIII
573;ESCUELA PARTICULAR TERESA VIDELA DE G
574;ESCUELA INDUSTRIAL SALESIANA SAN RAMON
575;COLEGIO PROVIDENCIA
578;LICEO IGNACIO CARRERA PINTO
579;COLEGIO SEMINARIO CONCILIAR
581;ESCUELA EXPERIMENTAL DE MUSICA JORGE PEÑA HEN
583;COLEGIO SAGRADOS CORAZONES
589;COLEGIO SANTO DOMINGO
597;COLEGIO PEDRO PABLO MUÑOZ
598;ESCUELA DE PUNTA DE CHOROS
599;ESCUELA JOSE SANTOS OSSA
602;ESCUELA BASICA CARLOS CONDELL
604;ESCUELA DE PUNTA COLORADA
606;ESCUELA BASICA SAN ANDRES
608;ESCUELA DE LOS CHOROS
609;INSTITUTO SUPERIOR DE COMERCIO DE COQUIMBO
610;LICEO INDUSTRIAL JOSE TOMAS DE URMENETA
611;LICEO DIEGO PORTALES
612;ESCUELA GUILLERMO CERECEDA
613;COLEGIO DE ARTES CLAUDIO ARRAU
614;ESCUELA PRESIDENTE ANIBAL PINTO
615;ESCUELA COQUIMBO
616;ESCUELA CARDENAL JOSE MARIA CARO
617;COLEGIO SANTA CECILIA
618;ESCUELA SANTO TOMAS DE AQUINO
620;ESCUELA JOSE ALFARO ALFARO
621;ESCUELA BASICA MARIO MUNOZ SILVA
623;CENTRO LABORAL JEAN PIAGET
